CLINICALSIGNIFICANCE_ID,CLINICALSIGNIFICANCE_ACCESSION,CLINICALSIGNIFICANCE_VARIANTID,CLINICALSIGNIFICANCE_PATHOLOGYID,CLINICALSIGNIFICANCE_SIGNIFICANCEID,CLINICALSIGNIFICANCE_EVALUATED,CLINICALSIGNIFICANCE_REVIEWSTATUS,CLINICALSIGNIFICANCE_UPDATED
51,RCV001541404,21165,207830,5,2021-06-09,"[criteria provided, single submitter]",2022-09-26
52,RCV000870856,21171,15485,4,2021-11-29,"[criteria provided, single submitter]",2022-09-26
53,RCV001573459,21171,207830,4,,"[no assertion criteria provided]",2022-09-26
54,RCV000870856,21172,15485,4,2021-11-29,"[criteria provided, single submitter]",2022-09-26
55,RCV001573459,21172,207830,4,,"[no assertion criteria provided]",2022-09-26
56,RCV000550112,21176,15485,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
57,RCV001653892,21176,207830,5,2021-06-10,"[criteria provided, single submitter]",2022-09-26
58,RCV000550112,21177,15485,5,2021-12-13,"[criteria provided, single submitter]",2022-09-26
59,RCV001653892,21177,207830,5,2021-06-10,"[criteria provided, single submitter]",2022-09-26
60,RCV000595538,21203,201971,5,2017-04-03,"[criteria provided, single submitter]",2022-09-26
61,RCV000968901,21203,123337,5,2021-11-24,"[criteria provided, single submitter]",2022-09-26
62,RCV001509096,21203,207830,,2021-02-23,"[criteria provided, conflicting interpretations]",2022-09-26
63,RCV000595538,21204,201971,5,2017-04-03,"[criteria provided, single submitter]",2022-09-26
64,RCV000968901,21204,123337,5,2021-11-24,"[criteria provided, single submitter]",2022-09-26
65,RCV001509096,21204,207830,,2021-02-23,"[criteria provided, conflicting interpretations]",2022-09-26
66,RCV000648874,21212,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
67,RCV001753804,21212,207830,4,2020-12-01,"[criteria provided, single submitter]",2022-09-26
68,RCV000648874,21213,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
69,RCV001753804,21213,207830,4,2020-12-01,"[criteria provided, single submitter]",2022-09-26
70,RCV000326109,21223,201971,5,2022-02-24,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
71,RCV000648873,21223,123337,4,2021-12-10,"[criteria provided, single submitter]",2022-09-26
72,RCV001764253,21223,207830,4,2020-05-05,"[criteria provided, single submitter]",2022-09-26
73,RCV000326109,21224,201971,5,2022-02-24,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
74,RCV000648873,21224,123337,4,2021-12-10,"[criteria provided, single submitter]",2022-09-26
75,RCV001764253,21224,207830,4,2020-05-05,"[criteria provided, single submitter]",2022-09-26
76,RCV000175509,21387,201971,5,2017-06-29,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
77,RCV000229565,21387,15209,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
78,RCV001150919,21482,99219,5,2021-11-08,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
79,RCV001655685,21482,207830,5,2018-07-05,"[criteria provided, single submitter]",2022-09-26
80,RCV000873830,21490,99219,,2021-11-26,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
81,RCV002259337,21490,207830,4,2021-12-23,"[criteria provided, single submitter]",2022-09-26
82,RCV001519333,21503,15485,5,2021-11-05,"[criteria provided, single submitter]",2022-09-26
83,RCV001724333,21503,207830,5,2019-01-08,"[criteria provided, single submitter]",2022-09-26
84,RCV001519333,21504,15485,5,2021-11-05,"[criteria provided, single submitter]",2022-09-26
85,RCV001724333,21504,207830,5,2019-01-08,"[criteria provided, single submitter]",2022-09-26
86,RCV000004214,21523,15485,3,2021-12-17,"[criteria provided, single submitter]",2022-09-26
87,RCV000004215,21523,93781,,2005-03-01,"[no assertion criteria provided]",2022-09-26
88,RCV000454992,21523,201971,,2017-04-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
89,RCV000004214,21524,15485,3,2021-12-17,"[criteria provided, single submitter]",2022-09-26
90,RCV000004215,21524,93781,,2005-03-01,"[no assertion criteria provided]",2022-09-26
91,RCV000454992,21524,201971,,2017-04-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
92,RCV000004218,21532,15485,,2022-05-22,"[criteria provided, conflicting interpretations]",2022-09-26
93,RCV000004219,21532,93781,1,2020-01-27,"[criteria provided, single submitter]",2022-09-26
94,RCV000412946,21532,207830,2,2017-05-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
95,RCV000004218,21533,15485,,2022-05-22,"[criteria provided, conflicting interpretations]",2022-09-26
96,RCV000004219,21533,93781,1,2020-01-27,"[criteria provided, single submitter]",2022-09-26
97,RCV000412946,21533,207830,2,2017-05-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
98,RCV000004224,21543,15485,5,2021-11-24,"[criteria provided, single submitter]",2022-09-26
99,RCV000004225,21543,93781,2,2019-05-13,"[criteria provided, single submitter]",2022-09-26
100,RCV000004224,21544,15485,5,2021-11-24,"[criteria provided, single submitter]",2022-09-26
101,RCV000004225,21544,93781,2,2019-05-13,"[criteria provided, single submitter]",2022-09-26
102,RCV000547982,21552,15485,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
103,RCV001672829,21552,207830,5,2019-01-08,"[criteria provided, single submitter]",2022-09-26
104,RCV000547982,21553,15485,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
105,RCV001672829,21553,207830,5,2019-01-08,"[criteria provided, single submitter]",2022-09-26
106,RCV000116238,21647,201971,5,2013-01-15,"[criteria provided, single submitter]",2022-09-26
107,RCV000233479,21647,15209,5,2021-12-17,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
108,RCV000710483,21647,207830,5,2017-10-25,"[criteria provided, single submitter]",2022-09-26
109,RCV000872169,21783,15485,5,2021-12-03,"[criteria provided, single submitter]",2022-09-26
110,RCV001536039,21783,15485,2,2021-06-30,"[criteria provided, single submitter]",2022-09-26
111,RCV001536039,21783,93781,2,2021-06-30,"[criteria provided, single submitter]",2022-09-26
112,RCV000116239,21809,201971,5,2012-10-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
113,RCV000284062,21809,15209,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
114,RCV000441107,21809,207830,5,2018-04-11,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
115,RCV000546566,21911,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
116,RCV001702803,21911,207830,4,,"[no assertion criteria provided]",2022-09-26
117,RCV000546566,21912,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
118,RCV001702803,21912,207830,4,,"[no assertion criteria provided]",2022-09-26
119,RCV001513183,21931,123337,5,2021-11-05,"[criteria provided, single submitter]",2022-09-26
120,RCV001619914,21931,207830,5,2019-06-29,"[criteria provided, single submitter]",2022-09-26
121,RCV001513183,21932,123337,5,2021-11-05,"[criteria provided, single submitter]",2022-09-26
122,RCV001619914,21932,207830,5,2019-06-29,"[criteria provided, single submitter]",2022-09-26
123,RCV000596467,22121,201971,4,2017-05-26,"[criteria provided, single submitter]",2022-09-26
124,RCV000762071,22121,207830,4,2021-08-01,"[criteria provided, single submitter]",2022-09-26
125,RCV001084350,22121,123337,5,2021-11-29,"[criteria provided, single submitter]",2022-09-26
126,RCV000596467,22122,201971,4,2017-05-26,"[criteria provided, single submitter]",2022-09-26
127,RCV000762071,22122,207830,4,2021-08-01,"[criteria provided, single submitter]",2022-09-26
128,RCV001084350,22122,123337,5,2021-11-29,"[criteria provided, single submitter]",2022-09-26
129,RCV000179472,22140,201971,5,2015-04-14,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
130,RCV001511734,22140,123337,5,2021-12-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
131,RCV001668344,22140,207830,5,2018-08-08,"[criteria provided, single submitter]",2022-09-26
132,RCV000179472,22141,201971,5,2015-04-14,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
133,RCV001511734,22141,123337,5,2021-12-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
134,RCV001668344,22141,207830,5,2018-08-08,"[criteria provided, single submitter]",2022-09-26
135,RCV001519560,22148,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
136,RCV001655776,22148,207830,5,2020-05-28,"[criteria provided, single submitter]",2022-09-26
137,RCV001519560,22149,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
138,RCV001655776,22149,207830,5,2020-05-28,"[criteria provided, single submitter]",2022-09-26
139,RCV000248741,22174,201971,5,,"[criteria provided, single submitter]",2022-09-26
140,RCV001519423,22174,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
141,RCV001660311,22174,207830,5,2018-10-16,"[criteria provided, single submitter]",2022-09-26
142,RCV000248741,22175,201971,5,,"[criteria provided, single submitter]",2022-09-26
143,RCV001519423,22175,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
144,RCV001660311,22175,207830,5,2018-10-16,"[criteria provided, single submitter]",2022-09-26
145,RCV001520885,22178,15485,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
146,RCV001712939,22178,207830,5,2018-11-12,"[criteria provided, single submitter]",2022-09-26
147,RCV000956347,22253,207830,4,2018-05-14,"[criteria provided, single submitter]",2022-09-26
148,RCV001483333,22253,99219,4,2021-12-14,"[criteria provided, single submitter]",2022-09-26
149,RCV001713837,22261,207830,5,2019-08-10,"[criteria provided, single submitter]",2022-09-26
150,RCV001779328,22261,123337,5,2021-09-05,"[criteria provided, single submitter]",2022-09-26
151,RCV001713837,22262,207830,5,2019-08-10,"[criteria provided, single submitter]",2022-09-26
152,RCV001779328,22262,123337,5,2021-09-05,"[criteria provided, single submitter]",2022-09-26
153,RCV001495246,22266,99219,4,2021-08-31,"[criteria provided, single submitter]",2022-09-26
154,RCV002225839,22266,207830,4,2019-07-15,"[criteria provided, single submitter]",2022-09-26
155,RCV000002569,22272,15209,3,2021-07-13,"[criteria provided, single submitter]",2022-09-26
156,RCV000186674,22272,207830,2,2022-03-23,"[criteria provided, single submitter]",2022-09-26
157,RCV000263188,22274,99219,3,2021-09-30,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
158,RCV001573646,22274,207830,4,,"[no assertion criteria provided]",2022-09-26
159,RCV000186675,22286,201971,4,2017-06-27,"[criteria provided, single submitter]",2022-09-26
160,RCV000766357,22286,207830,3,2021-04-29,"[criteria provided, single submitter]",2022-09-26
161,RCV001082607,22286,15209,4,2020-12-04,"[criteria provided, single submitter]",2022-09-26
162,RCV000004216,22316,15485,3,2021-11-14,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
163,RCV000004217,22316,93781,3,2018-08-07,"[criteria provided, single submitter]",2022-09-26
164,RCV001577052,22316,207830,4,2019-07-31,"[criteria provided, single submitter]",2022-09-26
165,RCV001731278,22316,201971,4,2020-07-27,"[criteria provided, single submitter]",2022-09-26
166,RCV001680174,22456,207830,5,2018-11-12,"[criteria provided, single submitter]",2022-09-26
167,RCV001789524,22456,15485,5,2021-10-25,"[criteria provided, single submitter]",2022-09-26
168,RCV001519334,22470,15485,5,2021-12-10,"[criteria provided, single submitter]",2022-09-26
169,RCV001655774,22470,207830,5,2021-06-09,"[criteria provided, single submitter]",2022-09-26
170,RCV000540883,22499,15209,5,2021-12-01,"[criteria provided, single submitter]",2022-09-26
171,RCV001721189,22499,207830,5,2019-03-08,"[criteria provided, single submitter]",2022-09-26
172,RCV000697137,22711,15209,5,2021-09-22,"[criteria provided, single submitter]",2022-09-26
173,RCV000723724,22711,207830,3,2019-03-08,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
174,RCV000253632,22761,201971,5,,"[criteria provided, single submitter]",2022-09-26
175,RCV001522871,22761,123337,5,2021-12-16,"[criteria provided, single submitter]",2022-09-26
176,RCV001753726,22761,207830,4,2020-03-11,"[criteria provided, single submitter]",2022-09-26
177,RCV000250195,22785,201971,5,2016-03-28,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
178,RCV001510886,22785,123337,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
179,RCV001675734,22785,207830,5,2018-10-16,"[criteria provided, single submitter]",2022-09-26
180,RCV000253146,22795,201971,5,2016-03-28,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
181,RCV000990434,22795,123337,5,2021-12-19,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
182,RCV001640545,22795,207830,5,2018-09-05,"[criteria provided, single submitter]",2022-09-26
183,RCV000490520,22809,15485,5,2016-03-18,"[criteria provided, single submitter]",2022-09-26
184,RCV000490520,22809,93781,5,2016-03-18,"[criteria provided, single submitter]",2022-09-26
185,RCV000532489,22809,15485,5,2017-10-30,"[criteria provided, single submitter]",2022-09-26
186,RCV001672830,22809,207830,5,2018-11-12,"[criteria provided, single submitter]",2022-09-26
187,RCV000253806,23153,201971,5,2016-03-28,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
188,RCV001698756,23153,207830,5,2018-10-17,"[criteria provided, single submitter]",2022-09-26
189,RCV001511081,24771,15485,5,2021-12-10,"[criteria provided, single submitter]",2022-09-26
190,RCV001685375,24771,207830,5,2021-06-10,"[criteria provided, single submitter]",2022-09-26
191,RCV001511082,24778,15485,5,2021-12-10,"[criteria provided, single submitter]",2022-09-26
192,RCV001713096,24778,207830,5,2021-06-10,"[criteria provided, single submitter]",2022-09-26
193,RCV000553266,24784,15485,5,2021-11-21,"[criteria provided, single submitter]",2022-09-26
194,RCV001683559,24784,207830,5,2018-11-12,"[criteria provided, single submitter]",2022-09-26
195,RCV000287188,24791,201971,5,2015-09-14,"[criteria provided, single submitter]",2022-09-26
196,RCV001519336,24791,15485,5,2021-12-10,"[criteria provided, single submitter]",2022-09-26
197,RCV001651301,24791,207830,5,2021-06-10,"[criteria provided, single submitter]",2022-09-26
198,RCV001519337,24805,15485,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
199,RCV001724334,24805,207830,5,2018-11-12,"[criteria provided, single submitter]",2022-09-26
200,RCV000958224,27918,207830,4,2021-11-26,"[criteria provided, single submitter]",2022-09-26
201,RCV001819011,27918,201971,4,2021-05-03,"[criteria provided, single submitter]",2022-09-26
202,RCV000958224,27919,207830,4,2021-11-26,"[criteria provided, single submitter]",2022-09-26
203,RCV001819011,27919,201971,4,2021-05-03,"[criteria provided, single submitter]",2022-09-26
204,RCV001443054,28025,207830,4,2021-12-14,"[criteria provided, single submitter]",2022-09-26
205,RCV001820135,28025,201971,5,2021-05-26,"[criteria provided, single submitter]",2022-09-26
206,RCV001443054,28026,207830,4,2021-12-14,"[criteria provided, single submitter]",2022-09-26
207,RCV001820135,28026,201971,5,2021-05-26,"[criteria provided, single submitter]",2022-09-26
208,RCV001298085,28036,207830,4,2021-12-03,"[criteria provided, single submitter]",2022-09-26
209,RCV001819987,28036,201971,5,2021-03-19,"[criteria provided, single submitter]",2022-09-26
210,RCV001298085,28037,207830,4,2021-12-03,"[criteria provided, single submitter]",2022-09-26
211,RCV001819987,28037,201971,5,2021-03-19,"[criteria provided, single submitter]",2022-09-26
212,RCV001822497,28069,201971,4,2021-03-29,"[criteria provided, single submitter]",2022-09-26
213,RCV002236178,28069,207830,4,2021-10-21,"[criteria provided, single submitter]",2022-09-26
214,RCV001822497,28070,201971,4,2021-03-29,"[criteria provided, single submitter]",2022-09-26
215,RCV002236178,28070,207830,4,2021-10-21,"[criteria provided, single submitter]",2022-09-26
216,RCV001513717,28183,207830,5,2021-12-12,"[criteria provided, single submitter]",2022-09-26
217,RCV001821816,28183,201971,4,2021-08-09,"[criteria provided, single submitter]",2022-09-26
218,RCV001513717,28184,207830,5,2021-12-12,"[criteria provided, single submitter]",2022-09-26
219,RCV001821816,28184,201971,4,2021-08-09,"[criteria provided, single submitter]",2022-09-26
220,RCV000217950,30975,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
221,RCV001513716,30975,207830,5,2021-12-15,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
222,RCV000221127,31067,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
223,RCV001512818,31067,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
224,RCV000214171,31122,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
225,RCV001520217,31122,207830,5,2021-12-15,"[criteria provided, single submitter]",2022-09-26
226,RCV000222395,31462,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
227,RCV001513210,31462,207830,,2021-12-14,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
228,RCV000216776,31467,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
229,RCV001523576,31467,207830,5,2021-12-13,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
230,RCV000220464,31698,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
231,RCV001512533,31698,207830,5,2021-12-15,"[criteria provided, single submitter]",2022-09-26
232,RCV000222940,31897,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
233,RCV001512602,31897,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
234,RCV000216026,31908,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
235,RCV001510295,31908,207830,5,2021-12-09,"[criteria provided, single submitter]",2022-09-26
236,RCV000616508,31914,201971,5,2014-11-26,"[criteria provided, single submitter]",2022-09-26
237,RCV001516559,31914,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
238,RCV000979651,31928,207830,4,2021-08-22,"[criteria provided, single submitter]",2022-09-26
239,RCV001335289,31928,127976,3,2018-05-08,"[criteria provided, single submitter]",2022-09-26
240,RCV000221007,31938,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
241,RCV001523577,31938,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
242,RCV000214070,31944,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
243,RCV001513238,31944,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
244,RCV000216230,31967,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
245,RCV001513239,31967,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
246,RCV000219900,31992,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
247,RCV001512819,31992,207830,,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
248,RCV000214271,31999,201971,5,2014-11-24,"[criteria provided, single submitter]",2022-09-26
249,RCV001521554,31999,207830,,2021-12-13,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
250,RCV002220710,32010,127976,3,2021-03-17,"[criteria provided, single submitter]",2022-09-26
251,RCV002220711,32010,207830,5,2021-08-04,"[criteria provided, single submitter]",2022-09-26
252,RCV001518709,49791,152852,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
253,RCV001692420,49791,207830,5,2021-03-15,"[criteria provided, single submitter]",2022-09-26
254,RCV001518709,49792,152852,5,2021-12-18,"[criteria provided, single submitter]",2022-09-26
255,RCV001692420,49792,207830,5,2021-03-15,"[criteria provided, single submitter]",2022-09-26
256,RCV001518492,50555,152852,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
257,RCV001647313,50555,207830,5,2018-09-13,"[criteria provided, single submitter]",2022-09-26
258,RCV001518492,50558,152852,5,2021-12-17,"[criteria provided, single submitter]",2022-09-26
259,RCV001647313,50558,207830,5,2018-09-13,"[criteria provided, single submitter]",2022-09-26
260,RCV000873663,50951,152852,5,2021-04-16,"[criteria provided, single submitter]",2022-09-26
261,RCV001776069,50951,207830,4,2021-05-04,"[criteria provided, single submitter]",2022-09-26
262,RCV000873663,50952,152852,5,2021-04-16,"[criteria provided, single submitter]",2022-09-26
263,RCV001776069,50952,207830,4,2021-05-04,"[criteria provided, single submitter]",2022-09-26
264,RCV000548348,51077,152852,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
265,RCV001722521,51077,207830,5,2021-04-08,"[criteria provided, single submitter]",2022-09-26
266,RCV000548348,51078,152852,5,2021-12-10,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
267,RCV001722521,51078,207830,5,2021-04-08,"[criteria provided, single submitter]",2022-09-26
268,RCV000243325,51694,201971,5,,"[criteria provided, single submitter]",2022-09-26
269,RCV000948134,51694,207830,,2021-11-17,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
270,RCV001143967,51694,185672,4,2017-04-27,"[criteria provided, single submitter]",2022-09-26
271,RCV000243325,51695,201971,5,,"[criteria provided, single submitter]",2022-09-26
272,RCV000948134,51695,207830,,2021-11-17,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
273,RCV001143967,51695,185672,4,2017-04-27,"[criteria provided, single submitter]",2022-09-26
274,RCV000288991,51700,185672,5,2018-01-13,"[criteria provided, single submitter]",2022-09-26
275,RCV000958214,51700,207830,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
276,RCV000288991,51701,185672,5,2018-01-13,"[criteria provided, single submitter]",2022-09-26
277,RCV000958214,51701,207830,5,2019-12-31,"[criteria provided, single submitter]",2022-09-26
278,RCV000251500,51760,201971,5,,"[criteria provided, single submitter]",2022-09-26
279,RCV000325226,51760,185672,5,2018-01-13,"[criteria provided, single submitter]",2022-09-26
280,RCV001838609,51760,4589,5,2021-09-10,"[criteria provided, single submitter]",2022-09-26
281,RCV002058427,51760,207830,5,2021-12-14,"[criteria provided, single submitter]",2022-09-26
282,RCV000251500,51761,201971,5,,"[criteria provided, single submitter]",2022-09-26
283,RCV000325226,51761,185672,5,2018-01-13,"[criteria provided, single submitter]",2022-09-26
284,RCV001838609,51761,4589,5,2021-09-10,"[criteria provided, single submitter]",2022-09-26
285,RCV002058427,51761,207830,5,2021-12-14,"[criteria provided, single submitter]",2022-09-26
286,RCV000246767,51767,201971,5,,"[criteria provided, single submitter]",2022-09-26
287,RCV000384447,51767,185672,5,2018-03-06,"[criteria provided, single submitter]",2022-09-26
288,RCV001723861,51767,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
289,RCV001838608,51767,4589,5,2021-09-10,"[criteria provided, single submitter]",2022-09-26
290,RCV000246767,51768,201971,5,,"[criteria provided, single submitter]",2022-09-26
291,RCV000384447,51768,185672,5,2018-03-06,"[criteria provided, single submitter]",2022-09-26
292,RCV001723861,51768,207830,5,2021-12-18,"[criteria provided, multiple submitters, no conflicts]",2022-09-26
293,RCV001838608,51768,4589,5,2021-09-10,"[criteria provided, single submitter]",2022-09-26
294,RCV000290005,51779,185672,5,2018-01-13,"[criteria provided, single submitter]",2022-09-26
